timestamps,TP9,AF7,AF8,TP10
1714655705.682,-46.387,-43.457,-40.527,-28.320
1714655705.686,-39.062,-40.039,-41.504,-32.715
1714655705.690,-30.762,-37.109,-41.504,-34.180
1714655705.694,-36.133,-36.621,-41.016,-20.508
1714655705.695,-38.574,-40.039,-38.574,-27.344
1714655705.699,-39.551,-39.062,-35.156,-40.527
1714655705.703,-33.203,-41.504,-35.156,-39.551
1714655705.707,-24.414,-39.551,-34.180,-34.180
1714655705.711,-30.762,-35.156,-34.668,-36.621
1714655705.715,-41.016,-36.133,-31.250,-43.457
1714655705.719,-41.504,-38.574,-30.762,-44.922
1714655705.722,-33.691,-37.109,-32.227,-43.945
1714655705.726,-28.320,-39.551,-29.785,-41.992
1714655705.730,-32.715,-41.504,-26.855,-43.945
1714655705.734,-33.203,-33.691,-24.902,-39.551
1714655705.738,-31.738,-35.645,-26.367,-31.738
1714655705.756,-30.762,-37.598,-27.344,-34.668
1714655705.760,-25.879,-30.762,-25.879,-38.574
1714655705.764,-26.855,-27.344,-26.855,-34.668
1714655705.768,-29.297,-33.203,-26.367,-35.645
1714655705.772,-27.832,-33.691,-24.902,-33.203
1714655705.776,-29.785,-27.344,-26.855,-32.715
1714655705.780,-33.691,-31.738,-29.785,-44.922
1714655705.783,-41.016,-32.227,-27.832,-48.340
1714655705.787,-45.898,-29.297,-29.297,-46.875
1714655705.791,-44.922,-33.203,-33.691,-46.875
1714655705.795,-43.457,-40.039,-37.109,-42.480
1714655705.799,-42.480,-41.016,-35.156,-38.086
1714655705.801,-37.109,-39.062,-32.715,-40.527
1714655705.805,-36.133,-34.668,-31.738,-39.062
1714655705.809,-41.016,-35.156,-28.320,-34.180
1714655705.813,-41.016,-38.574,-24.902,-27.344
1714655705.817,-36.133,-39.551,-26.367,-25.879
1714655705.821,-32.227,-35.156,-33.203,-32.227
1714655705.825,-34.180,-33.203,-34.180,-29.297
1714655705.828,-27.832,-30.273,-28.320,-21.484
1714655705.832,-23.926,-31.250,-27.832,-22.949
1714655705.836,-23.438,-37.598,-29.297,-27.344
1714655705.840,-16.602,-33.691,-21.973,-20.020
1714655705.844,-22.461,-34.180,-20.996,-18.066
1714655705.846,-27.344,-36.133,-24.414,-20.020
1714655705.850,-26.367,-34.180,-28.320,-19.043
1714655705.854,-26.367,-31.738,-30.273,-19.043
1714655705.858,-25.879,-32.227,-31.738,-20.996
1714655705.862,-31.250,-35.645,-41.504,-20.996
1714655705.866,-28.809,-34.180,-38.574,-20.508
1714655705.870,-25.391,-33.691,-35.645,-23.926
