timestamps,TP9,AF7,AF8,TP10,Right AUX
1714919669.501,125.0,77.637,157.715,135.254,87
1714919669.505,105.957,52.246,184.57,132.812,-12
1714919669.509,93.262,41.016,166.504,157.715,56
1714919669.513,103.027,37.598,141.113,152.832,44
1714919669.517,100.098,44.434,142.09,145.02,33
1714919669.521,147.949,96.191,97.168,177.246,68
1714919669.525,169.434,59.082,20.996,186.523,54
1714919669.528,150.391,-37.598,45.898,173.34,57
1714919669.532,89.355,-13.184,144.043,161.133,-36
1714919669.536,91.797,55.664,206.055,152.344,-70
1714919669.54,138.672,87.402,168.945,151.855,92
1714919669.544,136.719,89.355,131.836,137.695,-12
1714919669.547,134.766,57.129,164.551,136.719,-71
1714919669.551,98.145,20.508,164.551,139.16,-34
1714919669.555,93.75,0.488,138.672,143.555,1
1714919669.559,149.414,52.734,97.168,146.973,-76
1714919669.563,158.203,75.684,78.125,142.578,92
1714919669.567,130.371,41.504,80.078,136.719,7
1714919669.571,128.906,18.066,72.266,150.879,-28
1714919669.574,123.535,-17.578,103.516,158.203,38
1714919669.578,106.445,13.672,103.516,136.23,44
1714919669.582,131.348,80.566,93.262,131.836,64
1714919669.586,111.328,48.828,111.816,122.559,45
1714919669.59,72.754,-15.137,155.762,114.258,-68
1714919669.592,84.473,-34.668,165.527,104.492,-67
1714919669.596,114.746,32.227,139.16,97.656,53
1714919669.6,143.066,51.758,96.68,123.535,-26
1714919669.604,145.02,20.02,53.711,146.973,99
1714919669.608,96.68,2.441,104.004,114.746,76
1714919669.612,74.219,-22.949,89.844,96.68,53
1714919669.616,91.797,28.32,81.055,94.238,69
1714919669.619,128.418,40.527,93.262,87.891,38
1714919669.623,122.559,-17.578,82.031,124.512,-36
1714919669.627,87.402,-19.531,84.961,134.277,49
1714919669.631,105.957,-10.254,73.242,145.02,-48
1714919669.635,129.883,21.484,130.859,136.719,10
1714919669.652,143.066,48.34,151.367,106.934,87
1714919669.656,122.07,9.766,109.863,124.023,56
1714919669.66,101.562,-17.578,92.285,128.906,87
1714919669.664,63.477,-17.578,20.508,125.488,59
1714919669.668,73.242,-3.418,28.809,129.883,21
1714919669.672,105.469,36.133,111.328,116.699,0
1714919669.676,97.656,22.949,130.859,130.371,-85
1714919669.679,93.75,-21.484,115.723,115.234,-36
1714919669.683,93.262,-43.457,65.43,104.98,-16
1714919669.687,98.145,-7.324,106.934,130.371,-65
1714919669.691,117.188,37.109,106.445,122.559,-44
1714919669.695,107.91,5.859,80.078,118.652,88
1714919669.697,94.727,-33.203,51.758,127.441,94
1714919669.701,83.496,-36.133,52.734,104.98,-47
1714919669.705,65.43,-23.438,93.75,91.309,-92
1714919669.709,71.777,24.414,102.051,93.75,44
1714919669.713,98.633,30.762,116.699,91.797,22
1714919669.717,86.426,-7.812,89.355,124.023,-11
1714919669.721,58.594,-50.781,87.402,114.258,-78
1714919669.724,70.312,-72.266,85.938,69.824,59
1714919669.728,88.867,-39.062,77.148,79.59,11
1714919669.732,87.891,-0.977,72.754,78.125,-10
1714919669.736,83.496,4.883,65.918,72.754,-95
1714919669.74,86.914,-22.949,70.312,99.121,-49
1714919669.741,81.543,-39.062,27.832,123.535,82
1714919669.745,92.285,5.859,13.672,125.488,93
1714919669.749,100.586,-8.789,79.59,90.82,-1
1714919669.753,73.242,-50.781,84.473,82.031,1
1714919669.757,78.613,-55.176,78.125,103.027,-27
1714919669.761,38.086,-56.641,125.0,82.52,10
1714919669.765,41.016,5.859,66.406,85.449,33
1714919669.768,82.52,4.883,43.945,91.797,3
1714919669.772,77.637,-41.504,88.379,89.355,-99
1714919669.776,61.523,-38.086,80.566,73.73,-96
